940GZZDLABR,Abbey Road DLR Station,NaptanMetroStation,51.531931,0.003745,dlr,no,2/3,"All Saints DLR Station,Docklands Light Railway,East India Dock Road,London,E14"
940GZZDLALL,All Saints DLR Station,NaptanMetroStation,51.511004,-0.013128,dlr,no,2,"Bank/Monument Complex,London Underground Ltd.,Princes St,London,EC3V 3LA"
940GZZDLBEC,Beckton DLR Station,NaptanMetroStation,51.514366,0.061462,dlr,no,3,"Canning Town Station,London Underground Ltd.,Silvertown Way,Canning Town,London,E16 1DQ"
940GZZDLBLA,Blackwall DLR Station,NaptanMetroStation,51.507995,-0.006961,dlr,no,2,"Shadwell Station,London Overground Ltd.,Cable St,London,E1 2QE"
940GZZDLBNK,Bank DLR Station,NaptanMetroStation,51.513237,-0.088509,dlr,yes,1,"Stratford Station BR Station St,London,E15 1DE"
940GZZDLBOW,Bow Church DLR Station,NaptanMetroStation,51.527813,-0.020938,dlr,no,2,"West Ham Underground Station,London Underground Ltd.,Manor Rd,London,E15 3BN"
940GZZDLBPK,Beckton Park DLR Station,NaptanMetroStation,51.508797,0.054942,dlr,no,3,
940GZZDLCAN,Canary Wharf DLR Station,NaptanMetroStation,51.504842,-0.02099,dlr,no,2,
940GZZDLCGT,Canning Town DLR Station,NaptanMetroStation,51.514386,0.007428,dlr,yes,2/3,
940GZZDLCLA,Crossharbour DLR Station,NaptanMetroStation,51.495732,-0.014599,dlr,no,2,
940GZZDLCUS,Custom House (for ExCel) DLR Station,NaptanMetroStation,51.50972,0.026708,dlr,no,3,
940GZZDLCUT,Cutty Sark (for Maritime Greenwich) DLR Station,NaptanMetroStation,51.481675,-0.010802,dlr,no,2+3,
940GZZDLCYP,Cyprus DLR Station,NaptanMetroStation,51.508477,0.063934,dlr,no,3,
940GZZDLDEP,Deptford Bridge DLR Station,NaptanMetroStation,51.474218,-0.022431,dlr,no,2+3,
940GZZDLDEV,Devons Road DLR Station,NaptanMetroStation,51.522672,-0.017608,dlr,no,2,
940GZZDLEIN,East India DLR Station,NaptanMetroStation,51.509364,-0.002319,dlr,no,2+3,
940GZZDLELV,Elverson Road DLR Station,NaptanMetroStation,51.469077,-0.016721,dlr,no,2+3,
940GZZDLGAL,Gallions Reach DLR Station,NaptanMetroStation,51.508945,0.071565,dlr,no,3,
940GZZDLGRE,Greenwich DLR Station,NaptanMetroStation,51.47809,-0.013666,dlr,no,2+3,
940GZZDLHEQ,Heron Quays DLR Station,NaptanMetroStation,51.503383,-0.021413,dlr,no,2,
940GZZDLISL,Island Gardens DLR Station,NaptanMetroStation,51.487814,-0.010132,dlr,no,2,
940GZZDLKGV,King George V DLR Station,NaptanMetroStation,51.502007,0.062633,dlr,no,3,
940GZZDLLCA,London City Airport DLR Station,NaptanMetroStation,51.503419,0.048749,dlr,no,3,
940GZZDLLDP,Langdon Park DLR Station,NaptanMetroStation,51.515176,-0.014143,dlr,no,2,
940GZZDLLEW,Lewisham DLR Station,NaptanMetroStation,51.464668,-0.012867,dlr,no,2+3,
940GZZDLLIM,Limehouse DLR Station,NaptanMetroStation,51.512397,-0.039802,dlr,no,2,
940GZZDLMUD,Mudchute DLR Station,NaptanMetroStation,51.490707,-0.014731,dlr,no,2,
940GZZDLPDK,Pontoon Dock DLR Station,NaptanMetroStation,51.502216,0.032124,dlr,no,3,
940GZZDLPOP,Poplar DLR Station,NaptanMetroStation,51.507749,-0.017377,dlr,no,2,
940GZZDLPRE,Prince Regent DLR Station,NaptanMetroStation,51.509267,0.034167,dlr,no,3,
940GZZDLPUD,Pudding Mill Lane DLR Station,NaptanMetroStation,51.534307,-0.012747,dlr,no,2+3,
940GZZDLRAL,Royal Albert DLR Station,NaptanMetroStation,51.508361,0.045944,dlr,no,3,
940GZZDLRVC,Royal Victoria DLR Station,NaptanMetroStation,51.50934,0.018505,dlr,no,3,
940GZZDLSHA,Shadwell DLR Station,NaptanMetroStation,51.511697,-0.056637,dlr,yes,2,
940GZZDLSHS,Stratford High Street DLR Station,NaptanMetroStation,51.538201,-0.00107,dlr,no,2/3,
940GZZDLSIT,Stratford International DLR Station,NaptanMetroStation,51.545271,-0.00963,dlr,no,2/3,
940GZZDLSOQ,South Quay DLR Station,NaptanMetroStation,51.500132,-0.016576,dlr,no,2,
940GZZDLSTD,Stratford DLR Station,NaptanMetroStation,51.541763,-0.003279,dlr,yes,2/3,
940GZZDLSTL,Star Lane DLR Station,NaptanMetroStation,51.520791,0.004164,dlr,no,2/3,
940GZZDLTWG,Tower Gateway DLR Station,NaptanMetroStation,51.510621,-0.074813,dlr,no,1,
940GZZDLWFE,Westferry DLR Station,NaptanMetroStation,51.509435,-0.026743,dlr,no,2,
940GZZDLWHM,West Ham DLR Station,NaptanMetroStation,51.527899,0.00449,dlr,yes,2/3,
940GZZDLWIQ,West India Quay DLR Station,NaptanMetroStation,51.507034,-0.020304,dlr,no,2,
940GZZDLWLA,Woolwich Arsenal DLR Station,NaptanMetroStation,51.490012,0.069136,dlr,no,4,
940GZZDLWSV,West Silvertown DLR Station,NaptanMetroStation,51.502841,0.022469,dlr,no,3,
